Frame,qpos_LinkN0,qvel_LinkN0,qpos_LinkN1,qvel_LinkN1,qpos_LinkN2,qvel_LinkN2,qpos_LinkN3,qvel_LinkN3,qpos_LinkN4,qvel_LinkN4,qpos_LinkN5,qvel_LinkN5,qpos_LinkN6,qvel_LinkN6,qpos_LinkN7,qvel_LinkN7
0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
1,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
2,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
3,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
4,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
5,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
6,-0.0,0.0,-0.0,0.0,-0.0003643821401055,-0.0087451713625341,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
7,-0.0,0.0,-0.0,0.0,-0.0014432151801884,-0.0258919929619878,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
8,-0.0,0.0,-0.0,0.0,-0.0032150293700397,-0.0425235405564308,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
9,-0.0,0.0,-0.0,0.0,-0.0056583532132208,-0.0586397722363472,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
10,-0.0,0.0,-0.0,0.0,-0.008751718327403,-0.0742407627403736,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
11,-0.0,0.0,-0.0,0.0,-0.0124736540019512,-0.0893264561891555,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
12,-0.0,0.0,-0.0,0.0,-0.0168026890605688,-0.1038968414068222,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
13,-0.0,0.0,-0.0,0.0,-0.0217173527926206,-0.1179519295692443,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
14,-0.0,0.0,-0.0,0.0,-0.0271961782127618,-0.1314918100833892,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
15,-0.0,0.0,-0.0,0.0,-0.0332176908850669,-0.1445163041353225,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
16,-0.0,0.0,-0.0,0.0,-0.0397604256868362,-0.1570256352424621,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
17,-0.0,0.0,-0.0,0.0,-0.0468029119074344,-0.1690196692943573,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
18,-0.0,0.0,-0.0,0.0,-0.0543236769735813,-0.1804983615875244,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
19,-0.0,0.0,-0.0,0.0,-0.0623012408614158,-0.1914615333080291,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
20,-0.0,0.0,-0.0,0.0,-0.0707141533493995,-0.2019098997116089,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
21,-0.0,0.0,-0.0,0.0,-0.0795409232378006,-0.2118424773216247,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
22,-0.0,0.0,-0.0,0.0,-0.0887601003050804,-0.2212602496147155,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
23,-0.0,0.0,-0.0,0.0,-0.0983502119779586,-0.2301626801490783,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
24,-0.0,0.0,-0.0,0.0,-0.1082897707819938,-0.2385494112968444,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
25,-0.0,0.0,-0.0,0.0,-0.1185573190450668,-0.2464211583137512,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
26,-0.0,0.0,-0.0,0.0,-0.1291313916444778,-0.2537777423858642,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
27,-0.0,0.0,-0.0,0.0,-0.1399905085563659,-0.2606188058853149,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
28,-0.0,0.0,-0.0,0.0,-0.151113212108612,-0.2669448852539062,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
29,-0.0,0.0,-0.0,0.0,-0.1624780148267746,-0.2727552652359009,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
30,-0.0,0.0,-0.0,0.0,-0.1740634441375732,-0.2780503034591675,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
31,-0.0,0.0,-0.0,0.0,-0.18584805727005,-0.2828307151794433,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
32,-0.0,0.0,-0.0,0.0,-0.1978103518486023,-0.2870950698852539,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
33,-0.0,0.0,-0.0,0.0,-0.2099288702011108,-0.2908444404602051,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
34,-0.0,0.0,-0.0,0.0,-0.2221821844577789,-0.2940795421600342,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
35,-0.0,0.0,-0.0,0.0,-0.234548732638359,-0.2967971563339233,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
36,-0.0,0.0,-0.0,0.0,-0.247007131576538,-0.2990015745162964,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
37,-0.0,0.0,-0.0,0.0,-0.2595358490943908,-0.3006892204284668,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
38,-0.0,0.0,-0.0,0.0,-0.2721134424209595,-0.3018622398376465,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
39,-0.0,0.0,-0.0,0.0,-0.2847184538841247,-0.3025202751159668,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
40,-0.0,0.0,-0.0,0.0,-0.2973294258117676,-0.3026633262634277,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
41,-0.0,0.0,-0.0,0.0,-0.309924840927124,-0.3022899627685547,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
42,-0.0,0.0,-0.0,0.0,-0.3224832713603973,-0.3014023303985595,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
43,-0.0,0.0,-0.0,0.0,-0.3349831700325012,-0.2999975681304931,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
44,-0.0,0.0,-0.0,0.0,-0.3474032282829284,-0.2980813980102539,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
45,-0.0,0.0,-0.0,0.0,-0.3597217500209808,-0.2956445217132568,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
46,-0.0,0.0,-0.0,0.0,-0.3719174563884735,-0.2926969528198242,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
47,-0.0,0.0,-0.0,0.0,-0.3839687705039978,-0.289231538772583,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
48,-0.0,0.0,-0.0,0.0,-0.3958542943000793,-0.285252571105957,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
49,-0.0,0.0,-0.0,0.0,-0.4075525104999542,-0.280757188796997,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
50,-0.0,0.0,-0.0,0.0,-0.4190419316291809,-0.2757461071014404,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
51,-0.0,0.0,-0.0,0.0,-0.430305153131485,-0.2703173160552978,-0.0,0.0,-0.000431714230217,-0.0103611415252089,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
52,-0.0,0.0,-0.0,0.0,-0.4413408935070038,-0.2648577690124511,-0.0,0.0,-0.0017097297823056,-0.0306723732501268,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
53,-0.0,0.0,-0.0,0.0,-0.4521518647670746,-0.2594633102416992,-0.0,0.0,-0.0038083549588918,-0.050367004238069,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
54,-0.0,0.0,-0.0,0.0,-0.4627407789230346,-0.254133939743042,-0.0,0.0,-0.0067019020207226,-0.0694451294839382,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
55,-0.0,0.0,-0.0,0.0,-0.4731104075908661,-0.2488710880279541,-0.0,0.0,-0.010364674963057,-0.0879065506160259,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
56,-0.0,0.0,-0.0,0.0,-0.4832634329795837,-0.2436726093292236,-0.0,0.0,-0.0147709874436259,-0.1057514995336532,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
57,-0.0,0.0,-0.0,0.0,-0.4932025969028473,-0.2385399341583252,-0.0,0.0,-0.0198951493948698,-0.122979886829853,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
58,-0.0,0.0,-0.0,0.0,-0.5029307007789612,-0.2334744930267334,-0.0,0.0,-0.025711465626955,-0.1395915895700454,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
59,-0.0,0.0,-0.0,0.0,-0.5124503374099731,-0.2284712791442871,-0.0,0.0,-0.0321942456066608,-0.1555867195129394,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
60,-0.0,0.0,-0.0,0.0,-0.52176433801651,-0.2235360145568847,-0.0,0.0,-0.0393178090453147,-0.1709655225276947,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
61,-0.0,0.0,-0.0,0.0,-0.5308753848075867,-0.2186651229858398,-0.0,0.0,-0.0470564514398574,-0.1857274174690246,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
62,-0.0,0.0,-0.0,0.0,-0.5397862792015076,-0.2138614654541015,-0.0,0.0,-0.0553844794631004,-0.1998726725578308,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
63,-0.0,0.0,-0.0,0.0,-0.5484997630119324,-0.2091236114501953,-0.0,0.0,-0.0642762333154678,-0.2134020924568176,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
64,-0.0,0.0,-0.0,0.0,-0.5570183396339417,-0.2044458389282226,-0.0,0.0,-0.0737059786915779,-0.2263138890266418,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
65,-0.0,0.0,-0.0,0.0,-0.5653451085090637,-0.1998424530029297,-0.0,0.0,-0.0836480483412742,-0.2386096715927124,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
66,-0.0,0.0,-0.0,0.0,-0.5734824538230896,-0.1952962875366211,-0.0,0.0,-0.0940767675638198,-0.2502892613410949,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
67,-0.0,0.0,-0.0,0.0,-0.5814332962036133,-0.1908202171325683,-0.0,0.0,-0.1049663946032524,-0.2613510489463806,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
68,-0.0,0.0,-0.0,0.0,-0.5892004370689392,-0.1864113807678222,-0.0,0.0,-0.1162912994623184,-0.2717977166175842,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
69,-0.0,0.0,-0.0,0.0,-0.5967863202095032,-0.1820611953735351,-0.0,0.0,-0.1280257552862167,-0.2816269397735595,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
70,-0.0,0.0,-0.0,0.0,-0.6041939854621887,-0.1777839660644531,-0.0,0.0,-0.1401440799236297,-0.2908397912979126,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
71,-0.0,0.0,-0.0,0.0,-0.6114259362220764,-0.1735668182373047,-0.0,0.0,-0.1526205837726593,-0.299436092376709,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
72,-0.0,0.0,-0.0,0.0,-0.6184850931167603,-0.1694197654724121,-0.0,0.0,-0.1654295623302459,-0.3074154853820801,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
73,-0.0,0.0,-0.0,0.0,-0.6253741383552551,-0.1653370857238769,-0.0,0.0,-0.1785453408956527,-0.3147786855697632,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
74,-0.0,0.0,-0.0,0.0,-0.6320956349372864,-0.16131591796875,-0.0,0.0,-0.1919422298669815,-0.3215253353118896,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
75,-0.0,0.0,-0.0,0.0,-0.6386523842811584,-0.1573619842529297,-0.0,0.0,-0.2055945396423339,-0.3276554346084595,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
76,-0.0,0.0,-0.0,0.0,-0.6450473070144653,-0.1534781455993652,-0.0,0.0,-0.2194765508174896,-0.3331682682037353,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
77,-0.0,0.0,-0.0,0.0,-0.6512829661369324,-0.1496558189392089,-0.0,0.0,-0.2335626184940338,-0.3380656242370605,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
78,-0.0,0.0,-0.0,0.0,-0.6573621034622192,-0.1458992958068847,-0.0,0.0,-0.2478270530700683,-0.3423464298248291,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
79,-0.0,0.0,-0.0,0.0,-0.6632874011993408,-0.1422071456909179,-0.0,0.0,-0.2622440457344055,-0.3460078239440918,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
80,-0.0,0.0,-0.0,0.0,-0.6690617799758911,-0.138585090637207,-0.0,0.0,-0.2767880856990814,-0.3490569591522217,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
81,-0.0,0.0,-0.0,0.0,-0.6746878027915955,-0.1350245475769043,-0.0,0.0,-0.2914333939552307,-0.351487398147583,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
82,-0.0,0.0,-0.0,0.0,-0.6801682710647583,-0.1315312385559082,-0.0,0.0,-0.3061542212963104,-0.3532998561859131,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
83,-0.0,0.0,-0.0,0.0,-0.6855058073997498,-0.1281008720397949,-0.0,0.0,-0.3209249973297119,-0.3544986248016357,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
84,-0.0,0.0,-0.0,0.0,-0.6907033324241638,-0.1247406005859375,-0.0,0.0,-0.3357199430465698,-0.3550786972045898,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
85,-0.0,0.0,-0.0,0.0,-0.695763349533081,-0.1214404106140136,-0.0,0.0,-0.3505133986473083,-0.3550429344177246,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
86,-0.0,0.0,-0.0,0.0,-0.7006888389587402,-0.1182117462158203,-0.0,0.0,-0.3652796745300293,-0.3543906211853027,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
87,-0.0,0.0,-0.0,0.0,-0.7054823637008667,-0.1150445938110351,-0.0,0.0,-0.3799931108951568,-0.3531224727630615,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
88,-0.0,0.0,-0.0,0.0,-0.7101466655731201,-0.111943244934082,-0.0,0.0,-0.3946279883384704,-0.3512370586395263,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
89,-0.0,0.0,-0.0,0.0,-0.7146844267845154,-0.1089062690734863,-0.0,0.0,-0.4091585278511047,-0.3487329483032226,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
90,-0.0,0.0,-0.0,0.0,-0.7190985679626465,-0.1059393882751464,-0.0,0.0,-0.4235592186450958,-0.3456165790557861,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
91,-0.0,0.0,-0.0,0.0,-0.7233917713165283,-0.103036880493164,-0.0,0.0,-0.4378041625022888,-0.3418786525726318,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
92,-0.0,0.0,-0.0,0.0,-0.7275665402412415,-0.1001944541931152,-0.0,0.0,-0.4518678486347198,-0.3375284671783447,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
93,-0.0,0.0,-0.0,0.0,-0.7316259145736694,-0.0974249839782714,-0.0,0.0,-0.4657244980335235,-0.332559585571289,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
94,-0.0,0.0,-0.0,0.0,-0.7355723977088928,-0.0947155952453613,-0.0,0.0,-0.4793484807014465,-0.3269755840301513,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
95,-0.0,0.0,-0.0,0.0,-0.7394088506698608,-0.0920748710632324,-0.0,0.0,-0.4927139580249786,-0.3207714557647705,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
96,-0.0,0.0,-0.0,0.0,-0.7431379556655884,-0.0894985198974609,-0.0,0.0,-0.5057954788208008,-0.3139564990997314,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
97,-0.0,0.0,-0.0,0.0,-0.7467623353004456,-0.0869851112365722,-0.0,0.0,-0.5185671448707581,-0.3065199851989746,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
98,-0.0,0.0,-0.0,0.0,-0.7502849698066711,-0.084543228149414,-0.0,0.0,-0.5310033559799194,-0.298469066619873,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
99,-0.0,0.0,-0.0,0.0,-0.7537084221839905,-0.082162857055664,-0.0,0.0,-0.5430784225463867,-0.2898015975952148,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
100,-0.0,0.0,-0.0,0.0,-0.7570353746414185,-0.0798468589782714,-0.0,0.0,-0.5547665953636169,-0.2805161476135254,-0.0,0.0,0.0,0.0,1.3971269130706787,0.0
101,-0.0,0.0,-0.0,0.0,-0.7602684497833252,-0.0775938034057617,-0.0,0.0,-0.5660483241081238,-0.270761489868164,-0.0,0.0,-0.0009220511419698,-0.0221292274072766,1.3971269130706787,0.0
102,-0.0,0.0,-0.0,0.0,-0.7634092569351196,-0.0753793716430664,-0.0,0.0,-0.5769281387329102,-0.261115550994873,-0.0,0.0,-0.0036383639089763,-0.0651915064081549,1.3971269130706787,0.0
103,-0.0,0.0,-0.0,0.0,-0.766459047794342,-0.0731949806213378,-0.0,0.0,-0.5874167680740356,-0.2517271041870117,-0.0,0.0,-0.00807417742908,-0.1064595244824886,1.3971269130706787,0.0
104,-0.0,0.0,-0.0,0.0,-0.7694193124771118,-0.0710463523864746,-0.0,0.0,-0.5975248217582703,-0.2425932884216308,-0.0,0.0,-0.0141547312960028,-0.1459332928061485,1.3971269130706787,0.0
105,-0.0,0.0,-0.0,0.0,-0.772291362285614,-0.0689291954040527,-0.0,0.0,-0.6072630882263184,-0.2337183952331543,-0.0,0.0,-0.0218052640557289,-0.1836127862334251,1.3971269130706787,0.0
106,-0.0,0.0,-0.0,0.0,-0.7750767469406128,-0.0668492317199707,-0.0,0.0,-0.6166421175003052,-0.2250967025756836,-0.0,0.0,-0.030951015651226,-0.2194980382919311,1.3971269130706787,0.0
107,-0.0,0.0,-0.0,0.0,-0.7777765989303589,-0.0647964477539062,-0.0,0.0,-0.6256726384162903,-0.2167325019836425,-0.0,0.0,-0.0415172167122364,-0.2535888254642486,1.3971269130706787,0.0
108,-0.0,0.0,-0.0,0.0,-0.7803923487663269,-0.0627779960632324,-0.0,0.0,-0.6343652606010437,-0.208622932434082,-0.0,0.0,-0.0534291267395019,-0.2858858406543731,1.3971269130706787,0.0
109,-0.0,0.0,-0.0,0.0,-0.7829254269599915,-0.0607938766479492,-0.0,0.0,-0.642730712890625,-0.2007708549499511,-0.0,0.0,-0.066611960530281,-0.3163880109786987,1.3971269130706787,0.0
110,-0.0,0.0,-0.0,0.0,-0.7853773236274719,-0.0588455200195312,-0.0,0.0,-0.6507796049118042,-0.1931734085083007,-0.0,0.0,-0.0809909850358963,-0.3450965881347656,1.3971269130706787,0.0
111,-0.0,0.0,-0.0,0.0,-0.7877492904663086,-0.05692720413208,-0.0,0.0,-0.6585227251052856,-0.1858348846435547,-0.0,0.0,-0.0964913964271545,-0.3720098733901977,1.3971269130706787,0.0
112,-0.0,0.0,-0.0,0.0,-0.7900425791740417,-0.0550389289855957,-0.0,0.0,-0.6659706830978394,-0.178750991821289,-0.0,0.0,-0.1130384877324104,-0.3971301913261413,1.3971269130706787,0.0
113,-0.0,0.0,-0.0,0.0,-0.7922588586807251,-0.0531907081604003,-0.0,0.0,-0.6731339693069458,-0.1719188690185547,-0.0,0.0,-0.1305574625730514,-0.4204553961753845,1.3971269130706787,0.0
114,-0.0,0.0,-0.0,0.0,-0.7943992614746094,-0.0513696670532226,-0.0,0.0,-0.6800234913825989,-0.1653485298156738,-0.0,0.0,-0.1489735394716262,-0.4419858455657959,1.3971269130706787,0.0
115,-0.0,0.0,-0.0,0.0,-0.7964652180671692,-0.0495829582214355,-0.0,0.0,-0.6866499185562134,-0.159034252166748,-0.0,0.0,-0.1682120263576507,-0.4617236852645874,1.3971269130706787,0.0
116,-0.0,0.0,-0.0,0.0,-0.7984582185745239,-0.0478320121765136,-0.0,0.0,-0.6930237412452698,-0.1529717445373535,-0.0,0.0,-0.1881981194019317,-0.4796662330627441,1.3971269130706787,0.0
117,-0.0,0.0,-0.0,0.0,-0.8003795146942139,-0.0461111068725585,-0.0,0.0,-0.6991558074951172,-0.1471695899963379,-0.0,0.0,-0.208856999874115,-0.4958131313323974,1.3971269130706787,0.0
118,-0.0,0.0,-0.0,0.0,-0.8022305369377136,-0.0444245338439941,-0.0,0.0,-0.7050566077232361,-0.1416192054748535,-0.0,0.0,-0.2301140427589416,-0.5101690292358398,1.3971269130706787,0.0
119,-0.0,0.0,-0.0,0.0,-0.804012656211853,-0.0427708625793457,-0.0,0.0,-0.7107369303703308,-0.1363277435302734,-0.0,0.0,-0.2518943846225738,-0.5227282047271729,1.3971269130706787,0.0
120,-0.0,0.0,-0.0,0.0,-0.8057272434234619,-0.0411500930786132,-0.0,0.0,-0.7162075042724609,-0.131293773651123,-0.0,0.0,-0.2741233110427856,-0.533494234085083,1.3971269130706787,0.0
121,-0.0,0.0,-0.0,0.0,-0.8073757886886597,-0.039565086364746,-0.0,0.0,-0.7214788198471069,-0.1265115737915039,-0.0,0.0,-0.2967259883880615,-0.5424642562866211,1.3971269130706787,0.0
122,-0.0,0.0,-0.0,0.0,-0.808959424495697,-0.0380072593688964,-0.0,0.0,-0.7265617251396179,-0.1219897270202636,-0.0,0.0,-0.3196277320384979,-0.5496418476104736,1.3971269130706787,0.0
123,-0.0,0.0,-0.0,0.0,-0.8104797005653381,-0.0364866256713867,-0.0,0.0,-0.7314667701721191,-0.1177210807800293,-0.0,0.0,-0.3427537679672241,-0.5550248622894287,1.3971269130706787,0.0
124,-0.0,0.0,-0.0,0.0,-0.8119379878044128,-0.0349988937377929,-0.0,0.0,-0.7362046837806702,-0.1137099266052246,-0.0,0.0,-0.366029292345047,-0.558612585067749,1.3971269130706787,0.0
125,-0.0,0.0,-0.0,0.0,-0.813335657119751,-0.0335440635681152,-0.0,0.0,-0.740786075592041,-0.1099534034729003,-0.0,0.0,-0.389379620552063,-0.5604078769683838,1.3971269130706787,0.0
126,-0.0,0.0,-0.0,0.0,-0.8146739602088928,-0.0321192741394043,-0.0,0.0,-0.7452216744422913,-0.1064543724060058,-0.0,0.0,-0.412729948759079,-0.5604078769683838,1.3971269130706787,0.0
127,-0.0,0.0,-0.0,0.0,-0.8159544467926025,-0.0307316780090332,-0.0,0.0,-0.7495221495628357,-0.1032114028930664,-0.0,0.0,-0.4360055327415466,-0.5586140155792236,1.3971269130706787,0.0
